Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position ","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Collection
bound-to-please-furry-collar-with-leash-red,"Bound to Please Furry Collar with Leash Red","The Bound to Please Furry Collar and Lead Set is great for controlling your partner. The collar is lined with soft faux fur for comfortable and lengthy bondage play.

A perfect alternative to leather bondage, this collar and lead set is suitable for vegetarians and vegans as it is made from PU, polyester and metal

Product features:
<ul>
     <li>Furry collar with leash</li>
     <li>Easy to use</li>
     <li>Adjustable collar</li>
     <li>Collar length: 51 x 5.5 cm, Leash total length: 101 cm</li>
     <li>Made from PU, polyester, and metal</li>
</ul>","Bound to Please","Bondage Restraints",,TRUE,Title,"Bound to Please Furry Collar with Leash Red",,,,,N11935,160,shopify,49,deny,manual,13.99,13.99,TRUE,TRUE,5060211965104,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/N11935-bound-to-please-furry-collar-with-leash-red-3.jpg,1,"Bound to Please Furry Collar with Leash Red",FALSE,,,,,"Bound to Please Furry Collar with Leash Red","The Bound to Please Furry Collar and Lead Set is great for controlling your partner. The collar is lined with soft faux fur for comfortable and lengthy bondage play.

A perfect alternative to leather bondage, this collar and lead set is suitable for vegetarians and vegans as it is made from PU, polyester and metal

Product features:
<ul>
     <li>Furry collar with leash</li>
     <li>Easy to use</li>
     <li>Adjustable collar</li>
     <li>Collar length: 51 x 5.5 cm, Leash total length: 101 cm</li>
     <li>Made from PU, polyester, and metal</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/N11935-bound-to-please-furry-collar-with-leash-red-3.jpg,kg,,2.50,"Bondage Gear"
bound-to-please-slut-spanking-paddle-black,"Bound to Please SLUT Spanking Paddle Black","Leave an imprint on your lover with the Bound to Please Slut Spanking Paddle. This piece of bondage gear has a backward SLUT impression on the face of it, meaning that you imprint your partner with the readable mark.

The spanking paddle has a slip surface that lets off an incredible sound when in use. This product is great for beginners who love to hear the sound of spanking but don't want the harder impact.

Product features:
<ul>
     <li>Spanking paddle that leaves SLUT imprint on impact</li>
     <li>Split surface for incredible noise on impact</li>
     <li>Great for beginners</li>
     <li>Handle with wrist loop for additional safety</li>
</ul>","Bound to Please","Spanking Paddles and Floggers",,TRUE,Title,"Bound to Please SLUT Spanking Paddle Black",,,,,N11936,65,shopify,11,deny,manual,10.99,10.99,TRUE,TRUE,5060211965111,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/bound-to-please-slut-spanking-paddle-black-1.png,1,"Bound to Please SLUT Spanking Paddle Black",FALSE,,,,,"Bound to Please SLUT Spanking Paddle Black","Leave an imprint on your lover with the Bound to Please Slut Spanking Paddle. This piece of bondage gear has a backward SLUT impression on the face of it, meaning that you imprint your partner with the readable mark.

The spanking paddle has a slip surface that lets off an incredible sound when in use. This product is great for beginners who love to hear the sound of spanking but don't want the harder impact.

Product features:
<ul>
     <li>Spanking paddle that leaves SLUT imprint on impact</li>
     <li>Split surface for incredible noise on impact</li>
     <li>Great for beginners</li>
     <li>Handle with wrist loop for additional safety</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/bound-to-please-slut-spanking-paddle-black-1.png,kg,,4.4,"Bondage Gear"
bound-to-please-silicone-spanking-paddle-grey,"Bound to Please Silicone Spanking Paddle Grey","The Bound to Please Silicone Spanking Paddle Grey delivers a deep thwack! Made from silicone it is a durable instrument of both pleasure and pain and is easy to clean.
<ul>
     <li>Two different sides enable different sensations - smooth and textured side</li>
     <li>Raised diamond shaped nods to leave lasting impression</li>
     <li>Storage loop for easy hanging with other BDSM gear</li>
     <li>Easy to clean and hygienic</li>
</ul>","Bound to Please","Spanking Paddles and Floggers",,TRUE,Title,"Bound to Please Silicone Spanking Paddle Grey",,,,,N11852,90,shopify,18,deny,manual,22.99,22.99,TRUE,TRUE,5060211964831,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/N11852-bound-to-please-silicone-spanking-paddle-grey-2-1.jpg,1,"Bound to Please Silicone Spanking Paddle Grey",FALSE,,,,,"Bound to Please Silicone Spanking Paddle Grey","The Bound to Please Silicone Spanking Paddle Grey delivers a deep thwack! Made from silicone it is a durable instrument of both pleasure and pain and is easy to clean.
<ul>
     <li>Two different sides enable different sensations - smooth and textured side</li>
     <li>Raised diamond shaped nods to leave lasting impression</li>
     <li>Storage loop for easy hanging with other BDSM gear</li>
     <li>Easy to clean and hygienic</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/01/N11852-bound-to-please-silicone-spanking-paddle-grey-2-1.jpg,kg,,9.2,"Bondage Gear"
btb-water-based-warm-feeling-lubricant-250ml,"BTB Water Based Warm Feeling Lubricant 250ml","Back to Basics waterbased lubricant with warming effect
<ul>
     <li>250 ml</li>
     <li>Long lasting</li>
     <li>Condom compatible</li>
     <li>Vegan</li>
     <li>Not tested on animals</li>
</ul>","Back to Basics",Lubricant,,TRUE,Title,"BTB Water Based Warm Feeling Lubricant 250ml",,,,,N12003,246,shopify,0,deny,manual,21.99,21.99,TRUE,TRUE,8435465324132,https://www.1on1wholesale.eu/wp-content/uploads/2023/02/n12003-btb-wb-warm-feeling-lubricant-250ml-1.jpg,1,"BTB Water Based Warm Feeling Lubricant 250ml",FALSE,,,,,"BTB Water Based Warm Feeling Lubricant 250ml","Back to Basics waterbased lubricant with warming effect
<ul>
     <li>250 ml</li>
     <li>Long lasting</li>
     <li>Condom compatible</li>
     <li>Vegan</li>
     <li>Not tested on animals</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/02/n12003-btb-wb-warm-feeling-lubricant-250ml-1.jpg,kg,,4.4,Essentials
loving-joy-slide-water-based-lubricant-100ml,"Loving Joy Slide Water Based Aloe Infused Lubricant 100ml","Enjoy super, slippery, slidy play with this non-staining, paraben free, water based lubricant.

Perfect for when natural lubrication just isn't enough.

Only a small amount needed for a more enhanced sexual experience.

Safe for use with condoms.

 ","Loving Joy Lubricants",Lubricant,,TRUE,Title,"Loving Joy Slide Water Based Aloe Infused Lubricant 100ml",,,,,N12151,120,shopify,0,deny,manual,6.99,6.99,TRUE,TRUE,5060211965395,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12151-loving-joy-slide-lubricant-100ml-render-1.jpg,1,"Loving Joy Slide Water Based Aloe Infused Lubricant 100ml",FALSE,,,,,"Loving Joy Slide Water Based Aloe Infused Lubricant 100ml","Enjoy super, slippery, slidy play with this non-staining, paraben free, water based lubricant.

Perfect for when natural lubrication just isn't enough.

Only a small amount needed for a more enhanced sexual experience.

Safe for use with condoms.

 ",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12151-loving-joy-slide-lubricant-100ml-render-1.jpg,kg,,1.50,Essentials
loving-joy-anal-lubricant-100ml,"Loving Joy Aloe Infused Anal Lubricant 100ml","The Loving Joy Thick Anal Lubricant 100ml is a long-lasting, thick, water-based anal lube that is both vegan and vegetarian friendly.

This anal lubricant is both sex toy and condom safe, so you can use it with your partner or preferred sex toy!
<ul>
     <li>Loving Joy Anal Lubricant 100ml</li>
     <li>Aloe infused</li>
     <li>Thick Water-based formula</li>
     <li>Hypoallergenic and vegan friendly</li>
     <li>Non-staining, paraben-free</li>
     <li>Sex toy and condom safe</li>
     <li>pH Neutral</li>
</ul>
We believe in the power of nature to enhance your intimate moments. That is why we have carefully selected natural, plant-based ingredients for our lubricants, ensuring a safe and pleasurable experience. Here is a close look at what goes into our lubes:

Glycerin (Plant-Based) - Derived from plants, glycerin acts as a powerful moisturiser. It helps keep your intimate areas hydrated, ensuring a smooth and comfortable experience every time.

Plant Cellulose (Cotton) - Our lubricants contain plant cellulose which naturally increases viscosity. This means you get a thicker, more luxurious feel that lasts longer, enhancing your intimate moments.

Aloe Extract - Known for its soothing properties, aloe extract not only moisturises but also helps reduce inflammation and combat bacteria. Enjoy peace of mind knowing that your lubricant is gentle and protective on sensitive skin.

Forsythia Extract- Forsythia extract brings anti-inflammatory and antioxidant properties to our formula. This means that our lubricants not only feel great but also help soothe and protect your skin, contributing to overall intimate wellness.

Pepper Extract - We prioritize your health by using plant-based preservatives like pepper extract. Unlike other brands that rely on chemical preservatives, our natural choice ensures that you get a safe, irritation-free experience without any unwanted effects.

Ingredients: Aqua, glycerin (plant), plant cellulose, aloe extract, pepper extract, forsythia extract.","Loving Joy Lubricants",Lubricant,,TRUE,Title,"Loving Joy Aloe Infused Anal Lubricant 100ml",,,,,N12152,130,shopify,0,deny,manual,7.99,7.99,TRUE,TRUE,5060211965401,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12152-loving-joy-anal-lubricant-100ml-render-1.jpg,1,"Loving Joy Aloe Infused Anal Lubricant 100ml",FALSE,,,,,"Loving Joy Aloe Infused Anal Lubricant 100ml","The Loving Joy Thick Anal Lubricant 100ml is a long-lasting, thick, water-based anal lube that is both vegan and vegetarian friendly.

This anal lubricant is both sex toy and condom safe, so you can use it with your partner or preferred sex toy!
<ul>
     <li>Loving Joy Anal Lubricant 100ml</li>
     <li>Aloe infused</li>
     <li>Thick Water-based formula</li>
     <li>Hypoallergenic and vegan friendly</li>
     <li>Non-staining, paraben-free</li>
     <li>Sex toy and condom safe</li>
     <li>pH Neutral</li>
</ul>
We believe in the power of nature to enhance your intimate moments. That is why we have carefully selected natural, plant-based ingredients for our lubricants, ensuring a safe and pleasurable experience. Here is a close look at what goes into our lubes:

Glycerin (Plant-Based) - Derived from plants, glycerin acts as a powerful moisturiser. It helps keep your intimate areas hydrated, ensuring a smooth and comfortable experience every time.

Plant Cellulose (Cotton) - Our lubricants contain plant cellulose which naturally increases viscosity. This means you get a thicker, more luxurious feel that lasts longer, enhancing your intimate moments.

Aloe Extract - Known for its soothing properties, aloe extract not only moisturises but also helps reduce inflammation and combat bacteria. Enjoy peace of mind knowing that your lubricant is gentle and protective on sensitive skin.

Forsythia Extract- Forsythia extract brings anti-inflammatory and antioxidant properties to our formula. This means that our lubricants not only feel great but also help soothe and protect your skin, contributing to overall intimate wellness.

Pepper Extract - We prioritize your health by using plant-based preservatives like pepper extract. Unlike other brands that rely on chemical preservatives, our natural choice ensures that you get a safe, irritation-free experience without any unwanted effects.

Ingredients: Aqua, glycerin (plant), plant cellulose, aloe extract, pepper extract, forsythia extract.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12152-loving-joy-anal-lubricant-100ml-render-1.jpg,kg,,2.80,Essentials
loving-joy-silky-lubricant-100ml,"Loving Joy Silky Lubricant 100ml","The Loving Joy Silky Lubricant is a white, long-lasting lubricant that comes in an easy to use pump dispenser that allows you to easily apply lubricant to your erogenous zones.

This 100ml lubricant is vegan and vegetarian friendly, as well as being hypoallergenic.

 ","Loving Joy Lubricants",Lubricant,,TRUE,Title,"Loving Joy Silky Lubricant 100ml",,,,,N12153,120,shopify,48,deny,manual,8.99,8.99,TRUE,TRUE,5060211965418,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12153-loving-joy-silky-lubricant-100ml-render-1.jpg,1,"Loving Joy Silky Lubricant 100ml",FALSE,,,,,"Loving Joy Silky Lubricant 100ml","The Loving Joy Silky Lubricant is a white, long-lasting lubricant that comes in an easy to use pump dispenser that allows you to easily apply lubricant to your erogenous zones.

This 100ml lubricant is vegan and vegetarian friendly, as well as being hypoallergenic.

 ",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/05/N12153-loving-joy-silky-lubricant-100ml-render-1.jpg,kg,,1.90,Essentials
loving-joy-20-function-wand-vibrator-black,"Loving Joy 20 Function Wand Vibrator Black","Enjoy on-demand vibrations and get the stimulation that you need exactly when you need it with this elegant wand massager. Equipped with 20 speed and function settings, this magic wand does it all! Ideal for external massage of tense muscles and erogenous zones whether you need to wind down or up after work.

Made of soft silicone, this wand is USB-rechargeable so you won't have to fiddle with batteries. It is also waterproof making both bath-time fun and clean-up a breeze.

Product Features:
<ul>
     <li>Classic wand vibrator with flexible head</li>
     <li>Powerful motor with 20 soothing patterns and 8 different vibration levels</li>
     <li>100% waterproof</li>
     <li>USB rechargeable</li>
     <li>Made from body safe silicone and ABS</li>
     <li>Product length: 8 inches/20cm</li>
     <li>Head circumference: 5.2 inches/13.2cm</li>
</ul>","Loving Joy","Wand Vibrators",,TRUE,Title,"Loving Joy 20 Function Wand Vibrator Black",,,,,N12165,200,shopify,0,deny,manual,22.99,22.99,TRUE,TRUE,5060211965456,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12165-loving-joy-20-function-wand-vibrator-black-2.jpg,1,"Loving Joy 20 Function Wand Vibrator Black",FALSE,,,,,"Loving Joy 20 Function Wand Vibrator Black","Enjoy on-demand vibrations and get the stimulation that you need exactly when you need it with this elegant wand massager. Equipped with 20 speed and function settings, this magic wand does it all! Ideal for external massage of tense muscles and erogenous zones whether you need to wind down or up after work.

Made of soft silicone, this wand is USB-rechargeable so you won't have to fiddle with batteries. It is also waterproof making both bath-time fun and clean-up a breeze.

Product Features:
<ul>
     <li>Classic wand vibrator with flexible head</li>
     <li>Powerful motor with 20 soothing patterns and 8 different vibration levels</li>
     <li>100% waterproof</li>
     <li>USB rechargeable</li>
     <li>Made from body safe silicone and ABS</li>
     <li>Product length: 8 inches/20cm</li>
     <li>Head circumference: 5.2 inches/13.2cm</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12165-loving-joy-20-function-wand-vibrator-black-2.jpg,kg,,9.2,Vibrators
bound-to-play-eye-mask-and-feather-tickler-play-kit,"Bound to Play. Eye Mask and Feather Tickler Play Kit","Experience the ultimate in sensory play with the Bound to Play Eye Mask and Feather Tickler Play Kit. This kit includes two essential accessories for exploring your sensual side: a luxurious eye mask and an exquisite feather tickler.

This kit is perfect for those who want to explore the world of sensory play in a safe and non-intimidating way. The Bound to Play Eye Mask and Feather Tickler Play Kit is also lightweight and portable, making it the perfect addition to any travel bag or play space.

So whether you're looking to spice up your sex life or simply want to experiment with new sensations, the Bound to Play Eye Mask and Feather Tickler Play Kit is a must-have for your collection.","Bound to Play",Blindfolds,,TRUE,Title,"Bound to Play. Eye Mask and Feather Tickler Play Kit",,,,,N12171,30,shopify,18,deny,manual,15.99,15.99,TRUE,TRUE,5060211965753,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-tickler-headshot.jpg,1,"Bound to Play. Eye Mask and Feather Tickler Play Kit",FALSE,,,,,"Bound to Play. Eye Mask and Feather Tickler Play Kit","Experience the ultimate in sensory play with the Bound to Play Eye Mask and Feather Tickler Play Kit. This kit includes two essential accessories for exploring your sensual side: a luxurious eye mask and an exquisite feather tickler.

This kit is perfect for those who want to explore the world of sensory play in a safe and non-intimidating way. The Bound to Play Eye Mask and Feather Tickler Play Kit is also lightweight and portable, making it the perfect addition to any travel bag or play space.

So whether you're looking to spice up your sex life or simply want to experiment with new sensations, the Bound to Play Eye Mask and Feather Tickler Play Kit is a must-have for your collection.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-tickler-headshot.jpg,kg,,6.40,"Bondage Gear"
bound-to-play-hot-wax-candle-red,"Bound to Play. Hot Wax Candle Red","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality soya bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.","Bound to Play","Massage Oils and Candles",,TRUE,Title,"Bound to Play. Hot Wax Candle Red",,,,,N12144,145,shopify,95,deny,manual,15.99,15.99,TRUE,TRUE,5060211965746,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12144-bound-to-play-hot-wax-candle-red.jpg,1,"Bound to Play. Hot Wax Candle Red",FALSE,,,,,"Bound to Play. Hot Wax Candle Red","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality soya bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12144-bound-to-play-hot-wax-candle-red.jpg,kg,,6.40,"Anal Sex Toys"
bound-to-play-hot-wax-candle-black,"Bound to Play. Hot Wax Candle Black","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality Soya Bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.","Bound to Play","Massage Oils and Candles",,TRUE,Title,"Bound to Play. Hot Wax Candle Black",,,,,N12143,145,shopify,97,deny,manual,15.99,15.99,TRUE,TRUE,5060211965739,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12143-bound-to-play-hot-wax-candle-black.jpg,1,"Bound to Play. Hot Wax Candle Black",FALSE,,,,,"Bound to Play. Hot Wax Candle Black","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality Soya Bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12143-bound-to-play-hot-wax-candle-black.jpg,kg,,6.40,"Anal Sex Toys"
bound-to-play-hot-wax-candles-3-pack,"Bound to Play. Hot Wax Candles (3 Pack)","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality soya bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.","Bound to Play","Massage Oils and Candles",,TRUE,Title,"Bound to Play. Hot Wax Candles (3 Pack)",,,,,N12142,145,shopify,95,deny,manual,15.99,15.99,TRUE,TRUE,5060211965722,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12142-bound-to-play-hot-wax-candles-3-pack-1.jpg,1,"Bound to Play. Hot Wax Candles (3 Pack)",FALSE,,,,,"Bound to Play. Hot Wax Candles (3 Pack)","Experience the tantalizing sensations of hot wax play with the Bound to Play Hot Wax Candle. Made from high-quality soya bean wax, this candle is specifically designed for safe and pleasurable wax play.

Directions for use: Ensure not to hold the candle too close to your body while dripping in order to prevent burns. This naturally also applies to the wick, if (a lot of) candle wax is dripped, the wick will become longer. For safety reasons, please cut it shorter.

Note: When used on sensitive skin, burning or a skin reaction can occur. It is therefore important to test the hot wax in advance. Do this by gently dripping a drop of wax, from a sufficient distance, onto the skin to see if a sensitive reaction occurs. This candle is not suitable for use on intimate zones, the navel or the face.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12142-bound-to-play-hot-wax-candles-3-pack-1.jpg,kg,,6.40,"Anal Sex Toys"
bound-to-play-beginners-blindfold,"Bound to Play. Beginners Blindfold","Take your first steps into the exciting world of sensory deprivation with the Bound to Play Beginners Bondage Blindfold. Made from soft and comfortable materials, this blindfold is perfect for those new to bondage play or those who prefer a gentle touch.

Designed to block out all light, the Bound to Play Beginners Bondage Blindfold heightens your other senses, making every touch, kiss, and caress more intense and thrilling. It's also perfect for use during role-playing scenarios or as a sleep mask for those who prefer complete darkness.","Bound to Play",Blindfolds,,TRUE,Title,"Bound to Play. Beginners Blindfold",,,,,N12141,15,shopify,0,deny,manual,6.99,6.99,TRUE,TRUE,5060211965715,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-mask.jpg,1,"Bound to Play. Beginners Blindfold",FALSE,,,,,"Bound to Play. Beginners Blindfold","Take your first steps into the exciting world of sensory deprivation with the Bound to Play Beginners Bondage Blindfold. Made from soft and comfortable materials, this blindfold is perfect for those new to bondage play or those who prefer a gentle touch.

Designed to block out all light, the Bound to Play Beginners Bondage Blindfold heightens your other senses, making every touch, kiss, and caress more intense and thrilling. It's also perfect for use during role-playing scenarios or as a sleep mask for those who prefer complete darkness.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-mask.jpg,kg,,2.80,"Bondage Gear"
bound-to-play-feather-teaser,"Bound to Play. Feather Teaser","Bring a touch of playful sensuality to your intimate moments with the Bound to Play Feather Tickler. This elegant and lightweight tickler is designed to tease and tantalize your partner's erogenous zones, heightening their senses and building anticipation.

Made with high-quality faux feathers, this tickler delivers a soft and sensual touch that feels incredible on the skin. Use it to explore your partner's body, tickling and teasing their most sensitive areas, or combine it with other sensory play toys for an even more intense experience","Bound to Play","Spanking Paddles and Floggers",,TRUE,Title,"Bound to Play. Feather Teaser",,,,,N12140,20,shopify,8,deny,manual,10.99,10.99,TRUE,TRUE,5060211965708,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-tickler-HR.jpg,1,"Bound to Play. Feather Teaser",FALSE,,,,,"Bound to Play. Feather Teaser","Bring a touch of playful sensuality to your intimate moments with the Bound to Play Feather Tickler. This elegant and lightweight tickler is designed to tease and tantalize your partner's erogenous zones, heightening their senses and building anticipation.

Made with high-quality faux feathers, this tickler delivers a soft and sensual touch that feels incredible on the skin. Use it to explore your partner's body, tickling and teasing their most sensitive areas, or combine it with other sensory play toys for an even more intense experience",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12171-bound-to-play-eye-mask-and-feather-tickler-play-kit-tickler-HR.jpg,kg,,4.40,"Bondage Gear"
bound-to-play-heavy-duty-metal-handcuffs,"Bound to Play. Heavy Duty Metal Handcuffs","Introducing the Bound to Play Heavy Duty Metal Handcuffs, the perfect addition to your BDSM collection. These handcuffs feature a sturdy metal construction that ensures maximum durability and security during play.

With a simple locking mechanism, these cuffs are easy to use and can be quickly secured or released as needed. The sleek design of these handcuffs adds an element of sensuality to your playtime, while the heavy-duty construction ensures that you can rely on these cuffs time and time again.

These metal handcuffs are perfect for couples who want to explore their limits and take their play to the next level. Whether you're a seasoned pro or just starting out, these handcuffs provide a comfortable and secure fit that will keep you coming back for more.","Bound to Play","Bondage Restraints",,TRUE,Title,"Bound to Play. Heavy Duty Metal Handcuffs",,,,,N12139,0,shopify,95,deny,manual,10.99,10.99,TRUE,TRUE,5060211965692,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12139-bound-to-play-heavy-duty-metal-hand-cuffs-1.jpg,1,"Bound to Play. Heavy Duty Metal Handcuffs",FALSE,,,,,"Bound to Play. Heavy Duty Metal Handcuffs","Introducing the Bound to Play Heavy Duty Metal Handcuffs, the perfect addition to your BDSM collection. These handcuffs feature a sturdy metal construction that ensures maximum durability and security during play.

With a simple locking mechanism, these cuffs are easy to use and can be quickly secured or released as needed. The sleek design of these handcuffs adds an element of sensuality to your playtime, while the heavy-duty construction ensures that you can rely on these cuffs time and time again.

These metal handcuffs are perfect for couples who want to explore their limits and take their play to the next level. Whether you're a seasoned pro or just starting out, these handcuffs provide a comfortable and secure fit that will keep you coming back for more.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12139-bound-to-play-heavy-duty-metal-hand-cuffs-1.jpg,kg,,4.40,"Bondage Gear"
bound-to-play-heavy-duty-furry-handcuffs-pink,"Bound to Play. Heavy Duty Furry Handcuffs Pink","Introducing the Bound to Play Heavy Duty Furry Handcuffs, these cuffs are designed to provide the perfect balance of strength and comfort, ensuring that you and your partner can explore your wildest fantasies with ease.

These handcuffs feature a sturdy metal construction that ensures maximum durability and security during play. The soft fur lining provides a gentle touch against your skin, minimizing discomfort and allowing you to fully enjoy your experience.

With a simple locking mechanism, these cuffs are easy to use and can be quickly secured or released as needed.","Bound to Play","Bondage Restraints",,TRUE,Title,"Bound to Play. Heavy Duty Furry Handcuffs Pink",,,,,N12138,90,shopify,69,deny,manual,12.99,12.99,TRUE,TRUE,5060211965685,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12138-bound-to-play-heavy-duty-furry-handcuffs-pink.jpg,1,"Bound to Play. Heavy Duty Furry Handcuffs Pink",FALSE,,,,,"Bound to Play. Heavy Duty Furry Handcuffs Pink","Introducing the Bound to Play Heavy Duty Furry Handcuffs, these cuffs are designed to provide the perfect balance of strength and comfort, ensuring that you and your partner can explore your wildest fantasies with ease.

These handcuffs feature a sturdy metal construction that ensures maximum durability and security during play. The soft fur lining provides a gentle touch against your skin, minimizing discomfort and allowing you to fully enjoy your experience.

With a simple locking mechanism, these cuffs are easy to use and can be quickly secured or released as needed.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/N12138-bound-to-play-heavy-duty-furry-handcuffs-pink.jpg,kg,,5.20,"Bondage Gear"
