Handle,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",SKU,Quantity
nound-nubuck-leather-solid-ball-gag,Title,"BOUND Nubuck Leather Solid Ball Gag",,,,,N10099,14
bound-nubuck-leather-4-way-hog-tie,Title,"BOUND Nubuck Leather 4 Way Hog Tie",,,,,N10100,0
bound-nubuck-leather-leash,Title,"BOUND Nubuck Leather Leash",,,,,N10101,3
bound-nubuck-leather-blindfold,Title,"BOUND Nubuck Leather Blindfold",,,,,N10102,0
bound-nubuck-leather-heart-shaped-crop,Title,"BOUND Nubuck Leather Heart-Shaped Crop",,,,,N10103,1
bound-nubuck-choker-with-o-ring,Title,"BOUND Nubuck Leather Choker with 'O' Ring",,,,,N10116,6
sliquid-naturals-h20-waterbased-lubricant-59ml,Title,"Sliquid Naturals H20 Waterbased Lubricant-59ml",,,,,NS7003,63
sliquid-naturals-sassy-anal-lubricant-59ml,Title,"Sliquid Naturals Sassy Anal Lubricant-59ml",,,,,NS7004,53
sliquid-naturals-silver-silicone-lubricant-59ml,Title,"Sliquid Naturals Silver Silicone Lubricant-59ml",,,,,NS7007,16
sliquid-soul-organic-coconut-oil-moisturiser-2-oz,Title,"Sliquid Soul Organic Coconut Oil Moisturiser-59ml",,,,,NS7013,121
loving-joy-power-bullet-vibrator,Option,'Black',,,,,NS7069,0
loving-joy-power-bullet-vibrator,Option,'Pink',,,,,NS7070,0
lubido-anal-lubricant-250ml,Title,"Lubido Anal Lubricant 250ml",,,,,N10202,423
precious-metals-silver-anal-plug-small,Title,"Precious Metals Silver Butt Plug-Small",,,,,NS7100,0
precious-metals-silver-anal-plug-large,Title,"Precious Metals Silver Butt Plug-Large",,,,,NS7101,93
precious-metals-gold-anal-plug-small,Title,"Precious Metals Gold Butt Plug-Small",,,,,NS7102,0
precious-metals-gold-anal-plug-large,Title,"Precious Metals Gold Butt Plug-Large",,,,,NS7103,0
precious-metals-silver-ribbed-anal-plug,Title,"Precious Metals Ribbed Silver Butt Plug",,,,,N10232,0
precious-metals-silver-smooth-anal-plug-small,Title,"Precious Metals Smooth Silver Butt Plug-Small",,,,,NS7104,0
precious-metals-silver-smooth-anal-plug-medium,Title,"Precious Metals Smooth Silver Butt Plug-Medium",,,,,NS7105,0
precious-metals-silver-smooth-anal-plug-large,Title,"Precious Metals Smooth Silver Butt Plug-Large",,,,,NS7106,0
loving-joy-jewelled-silicone-butt-plug-purple-small,Title,"Loving Joy Jewelled Silicone Butt Plug Purple -Small",,,,,N11237,0
loving-joy-jewelled-silicone-butt-plug-purple-medium,Title,"Loving Joy Jewelled Silicone Butt Plug Purple - Medium",,,,,N11238,0
loving-joy-jewelled-silicone-butt-plug-purple-large,Title,"Loving Joy Jewelled Silicone Butt Plug Purple -Large",,,,,N11239,0
fsog-darker-oh-my-usb-rechargeable-rabbit-vibrator,Title,"Fifty Shades Darker Oh My USB Rechargeable Rabbit Vibrator",,,,,N10241,0
fsog-darker-desire-explodes-usb-rechargeable-g-spot-vibrator,Title,"Fifty Shades Darker Desire Explodes USB Rechargeable G-Spot Vibrator",,,,,N10242,0
fsog-darker-at-my-mercy-beaded-chain-nipple-clamps,Title,"Fifty Shades Darker At My Mercy Beaded Chain Nipple Clamps",,,,,N10250,0.000000
fsog-darker-just-sensation-beaded-clitoral-clamp,Title,"Fifty Shades Darker Just Sensation Beaded Clitoral Clamp",,,,,N10251,0
fsog-darker-adrenaline-spikes-metal-pinwheel,Title,"Fifty Shades Darker Adrenaline Spikes Metal Pinwheel",,,,,N10252,0
impound-exhibition-male-chastity-device,Title,"Impound Exhibition Male Chastity Device",,,,,N10348,30
impound-gladiator-male-chastity-device,Title,"Impound Gladiator Male Chastity Device",,,,,N10349,0
impound-corkscrew-male-chastity-device-with-penis-plug,Title,"Impound Corkscrew Male Chastity Device with Penis Plug",,,,,N10351,78
precious-metals-limited-edition-heart-shaped-anal-plugs-gold,Title,"Precious Metals Heart Shaped Butt Plug-Gold",,,,,NS7167,76
precious-metals-limited-edition-heart-shaped-anal-plugs-silver,Title,"Precious Metals Heart Shaped Butt Plug-Silver",,,,,NS7168,42
lubido-hybrid-moisturising-lubricant-250ml,Title,"Lubido Hybrid Moisturising Lubricant 250ml",,,,,N10357,34
loving-joy-versa-multi-function-flexible-vibrator,Title,"Loving Joy Versa Multi Purpose Flexible Vibrator",,,,,N10371,0
furry-fantasy-black-bunny-tail,Title,"Furry Fantasy Black Bunny Tail Butt Plug",,,,,N10422,3
furry-fantasy-white-bunny-tail,Title,"Furry Fantasy White Bunny Tail Butt Plug",,,,,N10423,11
furry-fantasy-red-fox-tail,Title,"Furry Fantasy Red Fox Tail Butt Plug",,,,,N10424,14
loving-joy-realistic-dildo-with-balls-and-suction-cup-6-inch,Title,"Loving Joy Realistic Dildo with Balls and Suction Cup 6 inch",,,,,N10432,30
loving-joy-realistic-dildo-with-balls-and-suction-cup-7-5-inch,Title,"Loving Joy Realistic Dildo with Balls and Suction Cup 7.5 Inch",,,,,N10434,0
loving-joy-universal-black-harness,Title,"Loving Joy Universal Black Harness",,,,,N10437,171
loving-joy-6-inch-silicone-dildo-with-suction-cup,Title,"Loving Joy 6 Inch Silicone Dildo with Suction Cup",,,,,N10438,0
loving-joy-door-jam-cuffs,Title,"Loving Joy Door Jam Cuffs",,,,,N10447,12
loving-joy-under-the-bed-restraint-system,Title,"Loving Joy Under the Mattress Restraint System",,,,,N10449,44
loving-joy-hog-tie-set,Title,"Loving Joy Hog Tie Set",,,,,N10451,9
loving-joy-velcro-wrist-restraints,Title,"Loving Joy Beginners Wrist Restraints",,,,,N10452,7
bound-to-please-triple-cock-and-ball-ring,Title,"Bound to Please Triple Cock and Ball Ring",,,,,N10456,45
bound-to-please-glans-ring-30mm,Title,"Bound to Please Glans Ring - 30mm",,,,,N10457,49
bound-to-please-through-hole-penis-plug-25mm,Title,"Bound to Please Through-Hole Penis Plug 25mm",,,,,N10459,0
bound-to-please-metal-cock-and-ball-ring-40mm,Title,"Bound to Please Metal Cock and Ball Ring - 40mm",,,,,N10461,22
bound-to-please-metal-cock-and-ball-ring-45mm,Title,"Bound to Please Metal Cock and Ball Ring - 45mm",,,,,N10462,44
bound-to-please-metal-cock-and-ball-ring-50mm,Title,"Bound to Please Metal Cock and Ball Ring - 50mm",,,,,N10463,0
loving-joy-mini-g-spot-vibrator-lavender,Title,"Loving Joy Mini G-Spot Vibrator Lavender",,,,,N10479,0
bound-to-please-breathable-ball-gag,Title,"Bound to Please Breathable Ball Gag",,,,,N10511,0
bound-to-please-universal-silicone-cuffs,Title,"Bound to Please Silicone Universal Cuffs",,,,,N10528,3
bound-to-please-silicone-collar-and-lead-set,Title,"Bound to Please Silicone Collar and Lead Set",,,,,N10529,2
bound-to-please-silicone-paddle,Title,"Bound to Please Silicone Paddle",,,,,N10530,0
bound-to-please-silicone-riding-crop,Title,"Bound to Please Silicone Riding Crop",,,,,N10531,41
fifty-shades-freed-deep-inside-rechargeable-classic-wave-vibrator,Title,"Fifty Shades Freed Deep Inside Rechargeable Classic Wave Vibrator",,,,,N10534,0
fifty-shades-freed-lavish-attention-rechargeable-clitoral-g-spot-vibrator,Title,"Fifty Shades Freed Lavish Attention Rechargeable Clitoral & G-Spot Vibrator",,,,,N10536,0
fifty-shades-freed-i-ve-got-you-rechargeable-remote-control-love-egg,Title,"Fifty Shades Freed I've Got You Rechargeable Remote Control Love Egg",,,,,N10541,0
fifty-shades-freed-all-sensation-nipple-clitoral-chain,Title,"Fifty Shades Freed All Sensation Nipple & Clitoral Chain",,,,,N10546,0
bound-to-please-bondage-tape,Title,"Bound to Please Bondage Tape Black",,,,,N10627,0
loving-joy-10-function-rechargeable-remote-controlled-egg,Title,"Loving Joy 10 Function Rechargeable Remote Controlled Egg",,,,,N10642,0
loving-joy-dua-interchangeable-vibrator,Title,"Loving Joy DUA Interchangeable Vibrator with 2 Attachments",,,,,N10700,0
